Key,Epic Link,Summary,Status,Updated
DEOPSCSW-236,Connections and Command Service,Update Documentation for sections and content of CCS,Done,3/13/18 8:05
DEOPSCSW-271,Logging Service,API change,Done,7/19/17 14:41
DEOPSCSW-272,Logging Service,Choose Appenders from Conf file,Done,7/25/17 8:59
DEOPSCSW-273,Logging Service,Change API to have keys from constants,Done,7/25/17 8:37
DEOPSCSW-274,Logging Service,Write New formatter,Done,4/12/18 8:31
DEOPSCSW-275,Logging Service,Improve performance implication of changing logLevel of just one comp,Done,7/25/17 8:36
DEOPSCSW-278,Logging Service,Create Java API without arguments as suppliers,Done,7/25/17 8:36
DEOPSCSW-279,Logging Service,Test logging performance,Done,7/25/17 9:00
DEOPSCSW-280,Framework Service,SPIKE: Introduce Akkatyped in logging,Done,7/27/17 3:22
DEOPSCSW-281,Logging Service,Rolling File Configuration,Done,7/25/17 7:59
DEOPSCSW-282,Framework Service,Add a timestamp Key and Parameter,Done,9/7/17 10:13
DEOPSCSW-283,Framework Service,Parsing HOCON conf file,Done,9/12/17 7:04
DEOPSCSW-284,Framework Service,Move Timeouts to Config file,Done,10/5/17 8:01
DEOPSCSW-286,Framework Service,Protobuf Spike,Done,9/19/17 21:53
DEOPSCSW-287,Framework Service,"Spike: Verify Protobuf support for Keys, Keytype, Parameters, Events, Units",Done,9/20/17 21:36
DEOPSCSW-289,Framework Service,Migrate csw-prod to SBT 1.0.2,Done,9/20/17 21:40
DEOPSCSW-291,Framework Service,Pull framework messages out in csw-param,Done,10/10/17 9:19
DEOPSCSW-292,Framework Service,Pull LocationService models out in csw-param,Done,10/10/17 9:20
DEOPSCSW-293,Connections and Command Service,Sanitise handlers in Component Handlers,Done,10/19/17 16:45
DEOPSCSW-296,Framework Service,Update documentation of logging,Done,11/29/17 0:21
DEOPSCSW-297,Framework Service,Merge protobuf branch in master,Done,10/31/17 17:53
DEOPSCSW-298,Framework Service,DeathWatch Http components,Done,11/21/17 7:58
DEOPSCSW-299,Framework Service,CSW-Vslice clean up,Done,10/21/17 9:55
DEOPSCSW-300,Framework Service,DeathWatch tcp components,Done,11/21/17 7:59
DEOPSCSW-301,Connections and Command Service,Support UnLocking,Done,12/12/17 8:12
DEOPSCSW-303,Connections and Command Service,Spike Command service in component,Done,11/1/17 2:41
DEOPSCSW-305,Framework Service,Spike immutable component handlers,Done,11/1/17 8:44
DEOPSCSW-306,Connections and Command Service,Include runId in Command response,Done,12/12/17 9:11
DEOPSCSW-307,Framework Service,Replace spray-json with play-json,Done,11/14/17 8:25
DEOPSCSW-308,Connections and Command Service,Add prefix in Location service models,Done,12/6/17 0:54
DEOPSCSW-309,Framework Service,Documentation of csw-messages(params/units/protobuf),Done,12/6/17 6:26
DEOPSCSW-310,Framework Service,Documentation of HostConfiguration application and Init.d configuration.,Done,3/27/18 7:11
DEOPSCSW-312,Monitoring App,Spike - Monitoring app setup,Done,11/13/17 20:14
DEOPSCSW-313,Connections and Command Service,Support short running actions by providing immediate response,Done,1/23/18 8:05
DEOPSCSW-315,Connections and Command Service,Make ObsID optional in commands,Done,12/6/17 6:42
DEOPSCSW-316,Connections and Command Service,Improve Logger accessibility for component developers,Done,12/12/17 7:09
DEOPSCSW-317,Connections and Command Service,Use state values of HCD to determine command completion,Done,3/1/18 7:46
DEOPSCSW-320,Connections and Command Service,"Add command type in Setup, observe and wait",Done,12/19/17 14:02
DEOPSCSW-321,Connections and Command Service,AkkaLocation provides wrapper for ActorRef[ComponentMessage],Done,12/19/17 7:36
DEOPSCSW-325,Logging Service,Include exception stack trace in stdout log message for exceptions,Done,2/13/18 7:24
DEOPSCSW-327,Event Services,Define Event Data Structure,Done,3/6/18 8:48
DEOPSCSW-328,Event Services,Basic information of Event needed for routing and Diagnostic use,Done,4/19/18 7:57
DEOPSCSW-332,Event Services,SPIKE - Kafka Latency performance,Done,2/8/18 0:38
DEOPSCSW-333,Event Services,SPIKE: Redis spike for performance and driver,Done,2/8/18 0:38
DEOPSCSW-334,Event Services,Publish an Event,Done,5/1/18 8:57
DEOPSCSW-335,Event Services,Model for EventName that encapsulates the topic(or channel ) name,Done,4/19/18 8:42
